attachment_path,literature_count,literature_ids_json
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\能源价格与房地产市场波动——来自中国地级市层面的经验证据.pdf,1,[2]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\中国房地产企业间系统性风险溢出效应分析——基于尾部风险网络模型.pdf,1,[6]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行资产负债结构对金融风险传染的影响.pdf,1,[29]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于新闻大数据与机器学习的中国银行业系统性风险研究.pdf,1,[37]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融强监管、影子银行与银行系统性风险.pdf,1,[43]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\系统性风险、抛售博弈与宏观审慎政策.pdf,1,[51]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\金融稳定沟通与银行系统性风险.pdf,1,[52]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\银行系统性风险多渠道形成机制及测度研究.pdf,1,[56]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\外部冲击下系统性金融风险的生成机制.pdf,1,[61]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\新常态下中国银行业的改革与创新.pdf,1,[63]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\后危机时代英美银行监管体系变革.pdf,1,[64]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\基于网络理论的投资多元化与银行系统性风险研究.pdf,1,[65]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\房地产市场距调控目标仍有距离.pdf,1,[66]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\竞争失衡与系统优化：中国商业银行的市场结构研究.pdf,1,[67]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\浙江省城市化水平对房地产价格波动的影响分析——基于VAR模型的实证研究.pdf,1,[68]
C:\Users\Ethan\CoreFiles\ProjectsFile\AcademicResearch-auto-workflow\workspace\references\attachments\我国商业银行的系统重要性度量.pdf,1,[69]
